Date,Consumption,Atypical_Day,Religious Holidays,Consumption_t-1,Consumption_t-2,Consumption_t-3,Consumption_t-4,Consumption_t-5,Consumption_t-6,Consumption_t-7,Consumption_t-8,Consumption_t-9,Consumption_t-10,Consumption_t-11,Consumption_t-12,Consumption_t-13,Consumption_t-14
2019-08-02,917291.78,0.0,0.0,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998,886206.4900000001,923850.47,926867.91,928406.76,928921.4,894256.2500000001,775774.7,856955.95
2019-08-03,823431.08,1.0,0.0,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998,886206.4900000001,923850.47,926867.91,928406.76,928921.4,894256.2500000001,775774.7
2019-08-04,914730.88,1.0,0.0,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998,886206.4900000001,923850.47,926867.91,928406.76,928921.4,894256.2500000001
2019-08-05,922815.22,0.0,0.0,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998,886206.4900000001,923850.47,926867.91,928406.76,928921.4
2019-08-06,919478.9,0.0,0.0,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998,886206.4900000001,923850.47,926867.91,928406.76
2019-08-07,919940.84,0.0,0.0,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998,886206.4900000001,923850.47,926867.91
2019-08-08,900572.7399999999,0.0,0.0,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998,886206.4900000001,923850.47
2019-08-09,746867.7999999998,0.0,0.0,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998,886206.4900000001
2019-08-10,632688.2499999999,1.0,1.0,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998,804012.1699999998
2019-08-11,655952.54,1.0,1.0,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72,926498.4499999998
2019-08-12,684727.3099999999,0.0,1.0,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002,958692.72
2019-08-13,722817.74,0.0,1.0,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93,963688.3100000002
2019-08-14,842426.7100000002,0.0,1.0,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005,968047.93
2019-08-15,851037.3099999998,0.0,0.0,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78,962469.0300000005
2019-08-16,814721.5499999998,0.0,0.0,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08,917291.78
2019-08-17,747993.0499999998,1.0,0.0,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88,823431.08
2019-08-18,853884.3499999999,1.0,0.0,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22,914730.88
2019-08-19,891049.7400000001,0.0,0.0,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9,922815.22
2019-08-20,891718.01,0.0,0.0,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84,919478.9
2019-08-21,901403.4,0.0,0.0,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999,919940.84
2019-08-22,907222.41,0.0,0.0,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998,900572.7399999999
2019-08-23,877759.3800000001,0.0,0.0,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999,746867.7999999998
2019-08-24,799815.16,1.0,0.0,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54,632688.2499999999
2019-08-25,925940.33,1.0,0.0,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999,655952.54
2019-08-26,945699.84,0.0,0.0,925940.33,799815.16,877759.3800000001,907222.41,901403.4,891718.01,891049.7400000001,853884.3499999999,747993.0499999998,814721.5499999998,851037.3099999998,842426.7100000002,722817.74,684727.3099999999
